Time (ps),RMSD (nm)
6790.0, 0.3041248
6800.0, 0.3128991
6810.0, 0.293863
6820.0, 0.2900335
6830.0, 0.3005194
6840.0, 0.2860737
6850.0, 0.2589058
6860.0, 0.2829886
6870.0, 0.2820933
6880.0, 0.2717675
6890.0, 0.2763039
6900.0, 0.2468351
6910.0, 0.2520944
6920.0, 0.2491757
6930.0, 0.2830187
6940.0, 0.2952049
6950.0, 0.2862694
6960.0, 0.2894301
6970.0, 0.2966977
6980.0, 0.3111162
6990.0, 0.3072039
7000.0, 0.3120486
7010.0, 0.3074199
7020.0, 0.2914836
7030.0, 0.2897481
7040.0, 0.2500579
7050.0, 0.2425276
7060.0, 0.2491057
7070.0, 0.2764309
7080.0, 0.2864529
7090.0, 0.2748807
7100.0, 0.251404
7110.0, 0.2492817
7120.0, 0.2540171
7130.0, 0.2819327
7140.0, 0.3002433
7150.0, 0.2702932
7160.0, 0.2828355
7170.0, 0.279064
7180.0, 0.2685467
7190.0, 0.2817572
7200.0, 0.2647868
7210.0, 0.2469834
7220.0, 0.2379675
7230.0, 0.2705242
7240.0, 0.2466554
7250.0, 0.2680998
7260.0, 0.2792487
7270.0, 0.286686
7280.0, 0.3038505
7290.0, 0.334635
7300.0, 0.3399583
7310.0, 0.3648014
7320.0, 0.3639434
7330.0, 0.3533053
7340.0, 0.3344232
7350.0, 0.3451925
7360.0, 0.3153857
7370.0, 0.3303422
7380.0, 0.3195591
7390.0, 0.2951273
7400.0, 0.3111524
7410.0, 0.2753777
7420.0, 0.308061
7430.0, 0.3212647
7440.0, 0.3229362
7450.0, 0.3345822
7460.0, 0.3420927
7470.0, 0.3331607
7480.0, 0.3110717
7490.0, 0.2915868
7500.0, 0.3031601
7510.0, 0.3141051
7520.0, 0.3150165
7530.0, 0.303263
7540.0, 0.279974
7550.0, 0.2765088
7560.0, 0.2830613
7570.0, 0.3069767
7580.0, 0.3033506
7590.0, 0.3043826
7600.0, 0.3479135
7610.0, 0.3194123
7620.0, 0.33674
7630.0, 0.3282824
7640.0, 0.3388378
7650.0, 0.3782375
7660.0, 0.3438461
7670.0, 0.3675807
7680.0, 0.3975589
7690.0, 0.4176368
7700.0, 0.38888
7710.0, 0.3545995
7720.0, 0.3846478
7730.0, 0.3426015
